Date,CSCO,ADBE,ORCL
11/1/2000,47.875,31.6875,26.5
12/1/2000,38.25,29.09375,29.0625
1/1/2001,37.4375,21.84375,29.125
2/1/2001,23.6875,14.53125,19
3/1/2001,15.8125,17.485001,14.63
4/1/2001,16.98,22.459999,16.16
5/1/2001,19.26,19.885,15.3
6/1/2001,18.200001,23.5,19
7/1/2001,19.219999,18.745001,18.08
8/1/2001,16.33,16.805,12.21
9/1/2001,12.18,11.99,12.58
10/1/2001,16.92,13.2,13.56
11/1/2001,20.440001,16.040001,14.03
12/1/2001,18.110001,15.525,13.81
1/1/2002,19.799999,16.85,17.26
2/1/2002,14.27,18.190001,16.620001
3/1/2002,16.93,20.145,12.8
4/1/2002,14.65,19.98,10.04
5/1/2002,15.78,18.049999,7.92
6/1/2002,13.95,14.25,9.47
7/1/2002,13.19,11.98,10.01
8/1/2002,13.82,10.05,9.59
9/1/2002,10.48,9.55,7.86
10/1/2002,11.18,11.82,10.19
11/1/2002,14.92,14.765,12.15
12/1/2002,13.1,12.4,10.8
1/1/2003,13.37,13.21,12.03
2/1/2003,13.98,13.75,11.96
3/1/2003,12.98,15.415,10.85
4/1/2003,15,17.264999,11.88
5/1/2003,16.41,17.66,13.01
6/1/2003,16.790001,16.035,12.01
7/1/2003,19.49,16.365,11.99
8/1/2003,19.139999,19.415001,12.83
9/1/2003,19.59,19.695,11.25
10/1/2003,20.93,21.879999,11.97
11/1/2003,22.700001,20.655001,12.02
12/1/2003,24.23,19.540001,13.23
1/1/2004,25.709999,19.15,13.86
2/1/2004,23.16,18.625,12.87
3/1/2004,23.57,19.65,12
4/1/2004,20.91,20.75,11.25
5/1/2004,22.370001,22.315001,11.4
6/1/2004,23.700001,23.25,11.93
7/1/2004,20.92,21.09,10.51
8/1/2004,18.76,22.934999,9.97
9/1/2004,18.1,24.735001,11.28
10/1/2004,19.209999,28.014999,12.66
11/1/2004,18.75,30.280001,12.74
12/1/2004,19.32,31.370001,13.72
1/1/2005,18.040001,28.450001,13.77
2/1/2005,17.42,30.875,12.95
3/1/2005,17.889999,33.584999,12.48
4/1/2005,17.27,29.735001,11.56
5/1/2005,19.4,33.119999,12.8
6/1/2005,19.08,28.610001,13.2
7/1/2005,19.15,29.639999,13.57
8/1/2005,17.620001,27.040001,12.99
9/1/2005,17.92,29.85,12.4
10/1/2005,17.450001,32.25,12.68
11/1/2005,17.540001,32.610001,12.6
12/1/2005,17.120001,36.959999,12.21
1/1/2006,18.57,39.73,12.57
2/1/2006,20.24,38.549999,12.42
3/1/2006,21.67,34.950001,13.69
4/1/2006,20.950001,39.200001,14.59
5/1/2006,19.68,28.629999,14.22
6/1/2006,19.530001,30.360001,14.49
7/1/2006,17.879999,28.51,14.97
8/1/2006,21.99,32.439999,15.66
9/1/2006,22.98,37.459999,17.74
10/1/2006,24.129999,38.25,18.469999
11/1/2006,26.91,40.16,19.049999
12/1/2006,27.33,41.119999,17.139999
1/1/2007,26.620001,38.869999,17.16
2/1/2007,25.940001,39.25,16.43
3/1/2007,25.530001,41.700001,18.129999
4/1/2007,26.74,41.560001,18.799999
5/1/2007,26.92,44.060001,19.379999
6/1/2007,27.85,40.150002,19.709999
7/1/2007,28.91,40.290001,19.120001
8/1/2007,31.92,42.75,20.280001
9/1/2007,33.130001,43.66,21.65
10/1/2007,33.060001,47.900002,22.17
11/1/2007,28.02,42.139999,20.18
12/1/2007,27.07,42.73,22.58
1/1/2008,24.5,34.93,20.549999
2/1/2008,24.389999,33.650002,18.799999
3/1/2008,24.09,35.59,19.559999
4/1/2008,25.639999,37.290001,20.85
5/1/2008,26.719999,44.060001,22.84
6/1/2008,23.26,39.389999,21
7/1/2008,21.99,41.349998,21.530001
8/1/2008,24.049999,42.830002,21.93
9/1/2008,22.559999,39.470001,20.309999
10/1/2008,17.77,26.639999,18.290001
11/1/2008,16.540001,23.16,16.09
12/1/2008,16.299999,21.290001,17.73
1/1/2009,14.97,19.309999,16.83
2/1/2009,14.57,16.700001,15.54
3/1/2009,16.77,21.389999,18.07
4/1/2009,19.32,27.35,19.34
5/1/2009,18.5,28.18,19.59
6/1/2009,18.65,28.299999,21.42
7/1/2009,22.01,32.419998,22.129999
8/1/2009,21.6,31.42,21.879999
9/1/2009,23.540001,33.040001,20.84
10/1/2009,22.809999,32.939999,21.1
11/1/2009,23.4,35.080002,22.08
12/1/2009,23.940001,36.779999,24.530001
1/1/2010,22.469999,32.299999,23.059999
2/1/2010,24.33,34.650002,24.65
3/1/2010,26.030001,35.369999,25.709999
4/1/2010,26.93,33.599998,25.870001
5/1/2010,23.16,32.080002,22.57
6/1/2010,21.309999,26.43,21.459999
7/1/2010,23.07,28.719999,23.639999
8/1/2010,19.99,27.700001,21.84
9/1/2010,21.9,26.15,26.85
10/1/2010,22.860001,28.15,29.379999
11/1/2010,19.16,27.799999,27.049999
12/1/2010,20.23,30.780001,31.299999
1/1/2011,21.15,33.049999,32.029999
2/1/2011,18.559999,34.5,32.900002
3/1/2011,17.15,33.16,33.43
4/1/2011,17.52,33.549999,35.959999
5/1/2011,16.799999,34.630001,34.220001
6/1/2011,15.61,31.450001,32.91
7/1/2011,15.97,27.709999,30.58
8/1/2011,15.67,25.24,28.07
9/1/2011,15.5,24.17,28.74
10/1/2011,18.530001,29.41,32.77
11/1/2011,18.639999,27.42,31.35
12/1/2011,18.08,28.27,25.65
1/1/2012,19.65,30.950001,28.209999
2/1/2012,19.879999,32.889999,29.25
3/1/2012,21.15,34.310001,29.16
4/1/2012,20.16,33.549999,29.4
5/1/2012,16.33,31.049999,26.469999
6/1/2012,17.17,32.369999,29.700001
7/1/2012,15.95,30.879999,30.200001
8/1/2012,19.08,31.27,31.65
9/1/2012,19.1,32.439999,31.459999
10/1/2012,17.15,34.029999,31.08
11/1/2012,18.91,34.610001,32.18
12/1/2012,19.65,37.68,33.32
1/1/2013,20.57,37.830002,35.509998
2/1/2013,20.860001,39.310001,34.240002
3/1/2013,20.9,43.52,32.330002
4/1/2013,20.92,45.080002,32.779999
5/1/2013,24.120001,42.91,33.779999
6/1/2013,24.34,45.560001,30.709999
7/1/2013,25.59,47.279999,32.349998
8/1/2013,23.309999,45.75,31.860001
9/1/2013,23.43,51.939999,33.169998
10/1/2013,22.559999,54.220001,33.5
11/1/2013,21.25,56.779999,35.290001
12/1/2013,22.43,59.880001,38.259998
1/1/2014,21.91,59.189999,36.900002
2/1/2014,21.799999,68.629997,39.110001
3/1/2014,22.42,65.739998,40.91
4/1/2014,23.110001,61.689999,40.880001
5/1/2014,24.620001,64.540001,42.02
6/1/2014,24.85,72.360001,40.529999
7/1/2014,25.23,69.25,40.389999
8/1/2014,24.99,71.900002,41.529999
9/1/2014,25.17,69.190002,38.279999
10/1/2014,24.469999,70.120003,39.049999
11/1/2014,27.639999,73.68,42.41
12/1/2014,27.82,72.699997,44.970001
1/1/2015,26.370001,70.129997,41.889999
2/1/2015,29.51,79.099998,43.82
3/1/2015,27.530001,73.940002,43.150002
4/1/2015,28.83,76.059998,43.619999
5/1/2015,29.309999,79.089996,43.490002
6/1/2015,27.459999,81.010002,40.299999
7/1/2015,28.42,81.989998,39.939999
8/1/2015,25.879999,78.57,37.09
9/1/2015,26.25,82.220001,36.119999
10/1/2015,28.85,88.660004,38.84
11/1/2015,27.25,91.459999,38.970001
12/1/2015,27.16,93.940002,36.529999
1/1/2016,23.790001,89.129997,36.310001
2/1/2016,26.18,85.150002,36.779999
3/1/2016,28.469999,93.800003,40.91
4/1/2016,27.49,94.220001,39.860001
5/1/2016,29.049999,99.470001,40.200001
6/1/2016,28.690001,95.790001,40.93
7/1/2016,30.530001,97.860001,41.040001
8/1/2016,31.440001,102.309998,41.220001
9/1/2016,31.719999,108.540001,39.279999
10/1/2016,30.68,107.510002,38.419998
11/1/2016,29.82,102.809998,40.189999
12/1/2016,30.219999,102.949997,38.450001
1/1/2017,30.719999,113.379997,40.110001
2/1/2017,34.18,118.339996,42.59
3/1/2017,33.799999,130.130005,44.610001
4/1/2017,34.07,133.740005,44.959999
5/1/2017,31.530001,141.860001,45.389999
6/1/2017,31.299999,141.440002,50.139999
7/1/2017,31.450001,146.490005,49.93
8/1/2017,32.209999,155.160004,50.330002
9/1/2017,33.630001,149.179993,48.349998
10/1/2017,34.150002,175.160004,50.900002
11/1/2017,37.299999,181.470001,49.060001
12/1/2017,38.299999,175.240005,47.279999
1/1/2018,41.540001,199.759995,51.59
2/1/2018,44.779999,209.130005,50.669998
3/1/2018,42.889999,216.080002,45.75
4/1/2018,44.290001,221.600006,45.669998
5/1/2018,42.709999,249.279999,46.720001
6/1/2018,43.029999,243.809998,44.060001
7/1/2018,42.290001,244.679993,47.68
8/1/2018,47.77,263.51001,48.580002
9/1/2018,48.650002,269.950012,51.560001
10/1/2018,45.75,245.759995,48.84
11/1/2018,47.869999,250.889999,48.759998
12/1/2018,43.330002,226.240005,45.150002
1/1/2019,47.290001,247.820007,50.23
2/1/2019,51.77,262.5,52.130001
3/1/2019,53.990002,266.48999,53.709999
4/1/2019,55.950001,289.25,55.330002
5/1/2019,52.029999,270.899994,50.599998
6/1/2019,54.73,294.649994,56.970001
7/1/2019,55.400002,298.859985,56.299999
8/1/2019,46.810001,284.51001,52.060001
9/1/2019,49.41,276.25,55.029999
10/1/2019,47.509998,277.929993,54.490002
11/1/2019,45.310001,309.529999,56.139999
12/1/2019,47.959999,329.809998,52.98
1/1/2020,45.970001,351.140015,52.450001
2/1/2020,39.93,345.119995,49.459999
3/1/2020,39.310001,318.23999,48.330002
4/1/2020,42.380001,353.640015,52.970001
5/1/2020,47.82,386.600006,53.77
6/1/2020,46.639999,435.309998,55.27
7/1/2020,47.099998,444.320007,55.450001
8/1/2020,42.220001,513.390015,57.220001
9/1/2020,39.389999,490.429993,59.700001
10/1/2020,35.900002,447.100006,56.110001
11/1/2020,43.02,478.470001,57.720001
12/1/2020,44.75,500.119995,64.690002
1/1/2021,44.580002,458.769989,60.43
2/1/2021,44.869999,459.670013,64.510002
3/1/2021,44.560001,439.059998,65.610001
